"","length","time","Dens","Trt","Rep","Ind","xn","yn","x0","y0","Tank","Sal","Temp","Oxy","CL","CW","SI","Trial","Side","High","StepLength","DistHigh","TimeHigh","Displacement"
"68",456.932599420814,315,"D2","LL","5",3,-59.3148749643822,-130.928610551551,15.4948733913834,-16.6803957946147,"WV04","30","12.4","10.1","7","20.2","1.4","33","O",1,7.25289840350499,405.25626815408,265,136.561901803541
"69",695.584901227062,375,"D2","LL","6",3,-85.0632345048923,117.526489150003,29.4582006465293,10.5559739137997,"WV02","31","11.3","10.1","6.8","19.3","1.3","46","O",1,9.27446534969416,504.801875558214,65,156.709445277048
"70",388.423543621265,135,"D2","LL","7",3,-141.246323307064,29.2922485541192,1.56262773468847,25.8218977715191,"WV02","31","11.2","10.5","7.4","20","1.5","54","C",0,14.3860571711579,165.96223635325,105,142.851110713918
"71",1412.36794013334,470,"D2","HH","1",3,48.4015137350767,-126.723506057689,2.13516000071608,-24.9645522381504,"WV02","31","9.6","10.6","7.6","19.9","1.5","7","O",0,15.0251908524823,658.891586538964,125,111.783094295694
"72",2738.10079492885,1010,"D2","HH","2",3,111.215579417776,-80.6414268936783,-27.486350258626,-6.5986007622929,"WV02","32","10.7","11","7.5","19.1","1.4","10","O",0,13.5549544303408,1558.10291055571,605,157.22775008719
"73",3926.58931581827,975,"D2","HH","3",3,-118.039934917931,92.4016815700373,6.94000205318292,-9.58907111360724,"WV04","31","10.9","10.6","7","20.7","1.4","17","C",0,20.1363554657347,1522.79342044617,340,161.313664264005
"74",2849.775887692,1025,"D2","HH","4",3,-39.8291559539417,138.550945548548,13.1396656470368,15.0512886997785,"WV02","31","11.1","10.4","7.6","20.2","1.5","32","C",0,13.9013457936195,1044.50755558496,480,134.379541982997
"75",494.046525733746,235,"D2","HH","5",3,146.928766416749,-9.05232465902167,7.17480933076262,-28.6516178424047,"WV02","30","12.4","9.1","7.6","21","1.6","34","O",0,10.511628207101,140.955013066423,75,141.121581675093
"76",1224.95732661898,595,"D2","HH","6",3,134.680962362562,-63.2532332493308,-11.7485896483453,-9.83816682491175,"WV02","31","11.9","9.6","7.2","20.2","1.5","48","O",0,10.2937590472183,539.347618034822,380,155.867838322215
"77",322.980725723792,280,"D2","HH","7",3,60.157357883598,-129.240888003854,27.0480570196143,-3.3553755533014,"WV04","31","12.7","10.3","7.1","19.9","1.4","55","C",1,5.76751295935343,161.238633138856,180,130.166770139848
"78",513.053717638513,275,"D2","HM","1",3,86.030393710417,123.698831002523,23.224454917889,6.64352541704633,"WV04","31","9.8","10.4","7.1","21.5","1.5","3","O",0,9.32824941160934,254.366497394473,130,132.840244328743
"79",268.616618551277,120,"D2","HM","2",3,114.844849196743,-103.558338919362,36.723921258281,-11.5250778155974,"WV04","30","11.3","9.9","6.8","21.4","1.5","11","C",1,11.1923591063032,268.616618551277,120,120.718683439474
"80",1223.86547212297,400,"D2","HM","3",3,-18.909013064447,-144.228071413607,-13.816968824997,-2.54000451359092,"WV02","31","10.6","9.6","6.9","20","1.4","20","O",1,15.2983184015372,884.720952375724,260,141.779537368409
"81",185.991830363775,120,"D2","HM","4",3,-137.359183713917,47.9846284479353,-23.6615031817841,-4.31058494156194,"WV04","31","10","9.1","7.5","17.1","1.3","29","O",1,7.74965959849064,185.991830363775,120,125.147720322186
"82",580.294637653007,265,"D2","HM","5",3,144.818224808165,14.1518743342302,8.44035890921576,20.9232383746786,"WV02","30","12.8","9.8","7.1","19.1","1.4","36","O",0,10.9489554274152,226.111157445207,90,136.545866572811
"83",1330.1980528147,475,"D2","HM","6",3,141.266058284564,4.80599547046741,-28.8234062089093,-4.43765471349574,"WV04","31","11.5","9.4","7","21.2","1.5","45","O",0,14.0020847664705,828.376781490555,340,170.340456147094
"84",1154.98600305564,460,"D2","HM","7",3,22.7437694117392,-131.829917300837,-19.3174994551617,0.487836160843861,"WV02","31","12.8","10","6.8","19.9","1.4","56","O",0,12.5541956853874,797.864237232837,385,138.842134166254
"85",934.884240475691,485,"D2","HL","1",4,147.717190164655,-4.63113387619724,-8.6538595360758,-7.91247207450806,"WV04","30","9.9","10.7","7.8","19.7","1.5","5","O",0,9.63798186057413,549.160764016212,400,156.405474216474
"86",389.510769817008,230,"D2","HL","2",4,-34.2508040521594,141.926809108993,15.2710483210635,-8.29074271556801,"WV02","31","11.4","9.9","7.4","19.3","1.4","12","O",1,8.46762543080452,157.073484907061,125,158.169929944475
"87",677.146337538861,265,"D2","HL","3",4,-57.996818272168,-137.478566166312,-4.50382280876972,15.8867626754857,"WV02","31","11.3","9.1","7.8","20.8","1.6","24","C",0,12.7763459912993,133.403613554264,50,162.426674700925
"88",379.891579645032,250,"D2","HL","4",4,-96.8281031836807,-103.140322611918,30.0520809377209,14.1295583551882,"WV02","31","10.4","10","7.3","21.7","1.6","28","C",0,7.59783159290064,240.792790107111,210,172.773858279313
"89",651.412099996104,335,"D2","HL","5",4,-142.629168788741,47.8780046250139,-7.42760275513121,15.3522659914414,"WV02","31","12.8","9.3","7.3","19","1.4","38","O",1,9.72256865665827,475.685985229755,280,139.058934022953
"90",2337.67012754072,1270,"D2","HL","6",4,-91.6899623626828,-112.546355795156,29.6853304604682,0.657000922983747,"WV02","30","11.4","9.9","6.9","20.9","1.4","44","O",1,9.2034256989792,1369.39473950525,575,165.97277391235
"91",1002.75430921717,390,"D2","HL","7",4,-13.291174426225,149.976993894436,-9.48661875541663,-2.56162760552299,"WV02","31","12.1","10.4","7.3","18.9","1.4","52","C",0,12.8558244771432,424.609977059743,165,152.58605995621
"92",337.834320368976,430,"D2","LL","1",4,68.5898842532322,127.352075338756,20.7852544911201,-14.5823015775759,"WV02","30","9.9","10.7","7.3","19.3","1.4","6","O",0,3.92830605080205,0,0,149.768654855814
"93",405.206497177463,585,"D2","LL","2",4,75.9412541154506,113.402786097047,-1.33707815143393,-15.2719480465643,"WV02","31","9.9","10.7","7.3","18","1.3","16","O",0,3.46330339467917,121.362134636825,500,150.097061413207
"94",580.885326147324,280,"D2","LL","3",4,-137.442261044674,-42.9324021415946,13.9286633405471,-13.4696063916396,"WV04","31","11.6","9.9","7.5","18.6","1.4","23","C",0,10.3729522526308,257.103755377319,175,154.211585435855
"95",277.12831149406,365,"D2","LL","4",4,-73.4129463136785,127.881922684737,-26.5606385634281,-15.2046350953561,"WV02","31","10","10.1","7.5","19.8","1.5","30","C",0,3.79627823964466,0,0,150.561953224844
"96",322.437129079472,525,"D2","LL","5",4,-111.795750006887,95.7030413669156,37.0671336346664,-1.60895057406375,"WV04","30","12.4","10.1","7","20.2","1.4","33","O",1,3.07082980075688,250.652014780941,85,177.847636761358
"97",394.112020230751,610,"D2","LL","6",4,99.0627335879945,-107.05284198093,31.676270819015,5.2329168119146,"WV02","31","11.3","10.1","6.8","19.3","1.3","46","O",0,3.23042639533402,-5.6843418860808e-14,0,130.954293523351
"98",423.308199425771,285,"D2","LL","7",4,-10.8961493277181,131.871189139964,6.17891337714809,-2.5309003215655,"WV02","31","11.2","10.5","7.4","20","1.5","54","C",0,7.42645963904861,128.462107447476,115,135.482395232739
"99",2278.94821061977,1075,"D2","HH","1",4,120.168116169443,87.6148404546128,-17.9563674225244,-9.57181559513679,"WV02","31","9.6","10.6","7.6","19.9","1.5","7","O",0,10.5997591191617,1393.08845648782,700,168.889369356629
"100",2570.75219611009,1250,"D2","HH","2",4,54.0107676167636,-102.530120482168,7.53329233774793,0.625561950591917,"WV02","32","10.7","11","7.5","19.1","1.4","10","O",0,10.2830087844404,1434.24013491657,400,113.142611453334
"101",249.063009506219,245,"D2","HH","3",4,117.005808133783,-69.371956678187,3.97009817758563,18.3509919552141,"WV04","31","10.9","10.6","7","20.7","1.4","17","C",1,5.08291856135141,249.063009506219,245,143.081750905697
"102",670.943417842689,400,"D2","HH","4",4,-44.580082181141,-138.447100977676,-22.152976305645,13.2246514616276,"WV02","31","11.1","10.4","7.6","20.2","1.5","32","C",0,8.38679272303361,304.69779773448,160,153.320890833441
"103",748.643534275016,415,"D2","HH","5",4,141.132629729762,20.1666008083147,5.29599741507736,-12.3517708730163,"WV02","30","12.4","9.1","7.6","21","1.6","34","O",0,9.01980161777128,388.789702889548,175,139.674747808614
"104",617.74959935873,355,"D2","HH","6",4,24.7351903231757,-144.16638624477,-12.0128339138597,13.5805198250296,"WV02","31","11.9","9.6","7.2","20.2","1.5","48","O",0,8.70069858251732,461.982298627207,305,161.970687656502
"105",1288.94821575565,1295,"D2","HH","7",4,-25.0152533885561,-13.4700863184439,-4.42342661743995,-21.0372201290979,"WV04","31","12.7","10.3","7.1","19.9","1.4","55","C",0,4.97663403766661,638.705797204025,880,21.938205119836
"106",199.390002544595,385,"D2","HM","1",4,129.006650473772,70.7507268713055,1.77904293068095,-16.9707406087888,"WV04","31","9.8","10.4","7.1","21.5","1.5","3","O",0,2.5894805525272,-5.6843418860808e-14,0,154.537762304234
"107",1042.21480130108,360,"D2","HM","2",4,106.85360335534,102.075395450518,19.1695444403501,14.7881700784594,"WV04","30","11.3","9.9","6.8","21.4","1.5","11","C",1,14.4752055736262,684.147617646264,280,123.723699835399
"108",384.698234397683,170,"D2","HM","3",4,118.180263470232,86.7158937251215,3.0986604301082,-5.66672467117308,"WV02","31","10.6","9.6","6.9","20","1.4","20","O",0,11.314653952873,228.656614061028,95,147.574806589878
"109",1691.24560162018,755,"D2","HM","4",4,13.1772673889476,-136.225172585981,12.2894907435679,12.5898342810284,"WV04","31","10","9.1","7.5","17.1","1.3","29","O",0,11.2003019974847,918.384147710536,220,148.817654921048
"110",1878.8289739752,815,"D2","HM","5",4,138.49583542475,60.4981563348879,17.8194543282614,27.2796465806103,"WV02","30","12.8","9.8","7.1","19.1","1.4","36","O",0,11.5265581225473,560.42346336163,140,125.164924578893
"111",1486.69223228386,490,"D2","HM","6",4,-138.502437984714,-45.5143568489147,-14.2988884516739,27.3898004747495,"WV04","31","11.5","9.4","7","21.2","1.5","45","O",1,15.1703289008557,707.163152582591,175,144.01922743745
"112",1296.27354399429,1270,"D2","HM","7",4,-29.5765180898049,25.3223749818899,14.2658180630951,28.39492053503,"WV02","31","12.8","10","6.8","19.9","1.4","56","O",1,5.10343914958383,777.877517767163,770,43.949868890817
"113",452.219489375837,585,"D2","HL","1",5,57.8034157286904,-130.561980707617,21.6517572162316,2.62010958728161,"WV04","30","9.9","10.7","7.8","19.7","1.5","5","O",0,3.86512384081912,302.722123630765,230,138.001491254696
